date,temperature_2m_max,precipitation_sum,precipitation_hours,uv_index_max,wind_speed_10m_max,shortwave_radiation_sum,NO2,PM25,NO2_r7,PM25_r7,NO2_l1,NO2_l3,NO2_l7,PM25_l1,PM25_l3,PM25_l7,wind_r3
2025-01-08,26.904552,0.0,0.0,3.2390728,8.277242,10.930199,13.50024154589372,11.5956169250646,8.460046897546897,5.932322490147448,12.194444444444445,6.011994949494949,7.030555555555556,8.803769379844962,3.192904717853839,5.385,12.790560666666666
2025-01-09,31.040977,0.0,0.0,3.1940396,7.0753326,9.209537,20.0209541062802,16.439503901895208,9.384287753309492,6.819553479442391,13.50024154589372,5.190277777777777,16.915277777777778,11.5956169250646,4.058750000000001,9.86875,10.360965333333333
2025-01-10,31.872433,4.685431,8.920529,2.0102649,7.896077,5.118278,13.197222222222225,14.39936046511628,9.82795580023841,7.758232608284563,20.0209541062802,12.194444444444445,4.408333333333333,16.439503901895208,8.803769379844962,5.622083333333333,7.742402866666667
2025-01-11,34.892498,0.0,0.0,3.4894042,11.542524,9.82351,7.966666666666666,8.256882183908047,11.083511355793965,9.012129341396413,13.197222222222225,13.50024154589372,7.469444444444445,14.39936046511628,11.5956169250646,4.595000000000001,7.749550533333333
2025-01-12,40.49336,0.0,0.0,2.974172,11.365753,8.947285,6.024368686868687,6.320416666666667,11.15454310182571,9.535255367668992,7.966666666666666,20.0209541062802,6.011994949494949,8.256882183908047,16.439503901895208,3.192904717853839,8.837977866666668
2025-01-13,30.071241,0.0,0.0,3.4927154,11.681159,12.12649,10.765277777777778,5.8125,11.156310778593388,9.982042788927966,6.024368686868687,13.197222222222225,5.190277777777777,6.320416666666667,14.39936046511628,4.058750000000001,10.268118
2025-01-14,30.110579,0.0,0.0,3.2384107,11.224882,10.686159,13.120833333333332,7.052321428571429,11.95273935002196,10.232578503213679,10.765277777777778,7.966666666666666,12.194444444444445,5.8125,8.256882183908047,8.803769379844962,11.529812
2025-01-15,29.243359,0.0,0.0,3.4615896,7.118151,10.955166,25.501388888888886,13.066931818181818,12.08508061986323,9.982371653031747,13.120833333333332,6.024368686868687,13.50024154589372,7.052321428571429,6.320416666666667,11.5956169250646,11.423931333333334
2025-01-16,42.54011,0.0,0.0,3.4201987,12.551981,11.715894,21.668055555555554,9.897276422764229,13.79953024029111,10.192559494905636,25.501388888888886,10.765277777777778,20.0209541062802,13.066931818181818,5.8125,16.439503901895208,10.008064
2025-01-17,53.284683,0.08940397,0.16556291,3.163245,12.595947,11.404239,19.751388888888886,10.15375,14.034830447330448,9.257955569315495,21.668055555555554,13.120833333333332,13.197222222222225,9.897276422764229,7.052321428571429,14.39936046511628,10.298338
2025-01-18,44.15952,0.020529803,0.046357617,2.768543,16.193014,7.5445695,2.975,3.1733333333333333,14.971139971139971,8.651439788584598,19.751388888888886,25.501388888888886,7.966666666666666,10.15375,13.066931818181818,8.256882183908047,10.755359666666665
2025-01-19,23.312897,0.0,0.0,3.1165564,15.879569,11.673046,2.4952020202020204,2.2325,14.258044733044732,7.925218524216782,2.975,21.668055555555554,6.024368686868687,3.1733333333333333,9.897276422764229,6.320416666666667,13.780313999999999
2025-01-20,18.95773,0.0,0.0,3.2582781,9.592108,12.630795,9.205555555555556,5.38375,13.753878066378066,7.341230428978688,2.4952020202020204,19.751388888888886,10.765277777777778,2.2325,10.15375,5.8125,14.88951
2025-01-21,13.210843,0.0,0.0,3.102649,11.291087,13.062252,7.949621212121212,5.294880952380952,13.531060606060606,7.279980428978687,9.205555555555556,2.975,13.120833333333332,5.38375,3.1733333333333333,7.052321428571429,13.88823033333333
2025-01-22,33.940643,0.0,0.0,2.9592717,11.394513,11.02298,11.597886473429952,7.395060865360357,12.792316017316015,7.028917503808619,7.949621212121212,2.4952020202020204,25.501388888888886,5.294880952380952,2.2325,13.066931818181818,12.254254666666666
2025-01-23,31.798525,0.011258278,0.105960265,3.175828,13.404269,11.028742,8.075000000000001,7.370113636363636,10.806101386536168,6.218650224834126,11.597886473429952,9.205555555555556,21.668055555555554,7.395060865360357,5.38375,9.897276422764229,10.759236
2025-01-24,31.253757,0.0,0.0,3.4569535,9.323306,12.660795,13.540277777777776,8.149166666666666,8.864236307171089,5.8576269696340395,8.075000000000001,7.949621212121212,19.751388888888886,7.370113636363636,5.294880952380952,10.15375,12.029956333333331
2025-01-25,47.977665,0.0,0.0,3.2748344,9.705494,12.375496,17.380555555555556,11.83375,7.976934719869503,5.5712579220149925,13.540277777777776,11.597886473429952,2.975,8.149166666666666,7.395060865360357,3.1733333333333333,11.374029333333333
2025-01-26,35.45455,0.0,0.0,3.2546358,7.158958,11.393112,11.30290404040404,6.5129166666666665,10.034871227806011,6.808460302967374,17.380555555555556,8.075000000000001,2.4952020202020204,11.83375,7.370113636363636,2.2325,10.811022999999999
2025-01-27,43.91813,0.0,0.0,3.4447021,11.037024,13.242384,11.925000000000002,6.832916666666667,11.293114373549155,7.419948398205468,11.30290404040404,13.540277777777776,9.205555555555556,6.5129166666666665,8.149166666666666,5.38375,8.729252666666666
2025-01-28,53.302567,0.0,0.0,3.4698677,12.316722,13.029405,9.46527777777778,5.931190476190476,11.681606437041221,7.6269722077292785,11.925000000000002,17.380555555555556,7.949621212121212,6.832916666666667,11.83375,5.294880952380952,9.300491999999998
2025-01-29,54.90945,0.0,0.0,3.552649,10.056171,13.24649,18.01388888888889,8.765416666666665,11.898128803563585,7.717873568273496,9.46527777777778,11.30290404040404,11.597886473429952,5.931190476190476,6.5129166666666665,7.395060865360357,10.170901333333331
2025-01-30,47.540775,5.9086094,6.854305,1.2533113,11.847022,5.2349668,18.419444444444444,11.13503672745694,12.814700577200577,7.913638682745826,18.01388888888889,11.925000000000002,8.075000000000001,8.765416666666665,6.832916666666667,7.370113636363636,11.136639
2025-01-31,51.733227,1.5337749,2.3443708,3.3506622,12.420212,4.994503,9.440277777777778,5.119166666666667,14.292478354978355,8.451484838616297,18.419444444444444,9.46527777777778,13.540277777777776,11.13503672745694,5.931190476190476,8.149166666666666,11.406638333333333
2025-02-01,47.549717,0.00066225167,0.0066225166,3.7013247,13.524061,12.611457,9.855555555555556,9.1275,13.70676406926407,8.018627695759154,9.440277777777778,18.01388888888889,17.380555555555556,5.119166666666667,8.765416666666665,11.83375,11.441134999999997
2025-02-02,60.841705,0.0,0.0,3.5503309,8.778209,12.672384,11.298737373737374,7.69375,12.63176406926407,7.632020552902012,9.855555555555556,18.419444444444444,11.30290404040404,9.1275,11.13503672745694,6.5129166666666665,12.597098333333333
2025-02-03,72.393295,0.0,0.0,3.8453643,13.436989,13.137087,13.618055555555555,11.625416666666666,12.631168831168834,7.800711029092488,11.298737373737374,9.440277777777778,11.925000000000002,7.69375,5.119166666666667,6.832916666666667,11.574160666666666
2025-02-04,45.874287,0.0,0.0,3.5039732,13.756668,11.786225,5.331944444444445,5.103638888888889,12.873033910533909,8.485353886235345,13.618055555555555,9.855555555555556,9.46527777777778,11.625416666666666,9.1275,5.931190476190476,11.913086333333332
2025-02-05,37.7719,2.7430465,3.7748344,0.29801324,9.467524,1.4555628,11.41638888888889,7.658825757575758,12.28255772005772,8.367132230906545,5.331944444444445,11.298737373737374,18.01388888888889,5.103638888888889,7.69375,8.765416666666665,11.990622
2025-02-06,41.932762,0.36887416,0.78807944,3.9927154,11.9783,5.7044373,7.919444444444444,6.547499999999999,11.34005772005772,8.209047815322132,11.41638888888889,13.618055555555555,18.419444444444444,7.658825757575758,11.625416666666666,11.13503672745694,12.220393666666666
2025-02-07,37.07813,0.0026490067,0.0066225166,1.1298013,8.407055,9.18808,13.533333333333331,7.6690691489361695,9.84005772005772,7.553685425685425,7.919444444444444,5.331944444444445,9.440277777777778,6.547499999999999,5.103638888888889,5.119166666666667,11.734163999999998
2025-02-08,39.47594,5.7483444,4.92053,2.439404,11.690957,2.047947,8.183333333333332,7.484999999999999,10.424779942279942,7.917957208866783,13.533333333333331,11.41638888888889,9.855555555555556,7.6690691489361695,7.658825757575758,9.1275,9.950959666666666
2025-02-09,32.28548,0.0,0.0,3.5377483,9.512235,6.999537,6.161868686868687,7.461666666666668,10.185891053391051,7.683314351723927,8.183333333333332,7.919444444444444,11.298737373737374,7.484999999999999,6.547499999999999,7.69375,10.692103999999999
