date_local,site_number,sample_measurement,samp_dur_hrs
2025-01-01,0007,4.458333333333333,1
2025-01-01,0094,5.11875,1
2025-01-01,0093,5.152083333333333,1
2025-01-01,0016,6.4875,1
2025-01-01,0085,5.708333333333333,1
2025-01-01,0085,6.1,24
2025-01-02,0007,7.2749999999999995,1
2025-01-02,0085,9.9375,1
2025-01-02,0093,8.404166666666667,1
2025-01-02,0094,8.69375,1
2025-01-02,0016,15.033333333333333,1
2025-01-03,0094,5.552083333333333,1
2025-01-03,0016,4.55,1
2025-01-03,0085,7.795833333333333,1
2025-01-03,0007,3.9375,1
2025-01-03,0093,6.2749999999999995,1
2025-01-04,0016,6.1375,1
2025-01-04,0007,3.466666666666667,1
2025-01-04,0085,4.745833333333334,1
2025-01-04,0085,5.1,24
2025-01-04,0093,4.260416666666667,1
2025-01-04,0094,4.364583333333333,1
2025-01-05,0016,4.304166666666666,1
2025-01-05,0007,2.182608695652174,1
2025-01-05,0085,3.045833333333333,1
2025-01-05,0093,2.9319148936170216,1
2025-01-05,0094,3.5,1
2025-01-06,0016,4.945833333333334,1
2025-01-06,0085,4.0125,1
2025-01-06,0007,3.233333333333333,1
2025-01-06,0093,3.9375,1
2025-01-06,0094,4.164583333333334,1
2025-01-07,0093,7.920833333333333,1
2025-01-07,0007,5.9624999999999995,1
2025-01-07,0085,7.92093023255814,1
2025-01-07,0094,7.83125,1
2025-01-07,0016,14.383333333333333,1
2025-01-07,0085,9.6,24
2025-01-08,0007,10.458333333333334,1
2025-01-08,0085,11.155555555555555,1
2025-01-08,0093,10.71875,1
2025-01-08,0094,10.716279069767442,1
2025-01-08,0016,14.929166666666667,1
2025-01-09,0085,15.838461538461539,1
2025-01-09,0094,17.508695652173913,1
2025-01-09,0093,16.4375,1
2025-01-09,0007,11.904166666666667,1
2025-01-09,0016,20.508695652173913,1
2025-01-10,0016,13.0875,1
2025-01-10,0085,15.5,24
2025-01-10,0094,16.03125,1
2025-01-10,0093,15.709302325581396,1
2025-01-10,0085,15.081249999999999,1
2025-01-10,0007,12.0875,1
2025-01-11,0093,7.544827586206897,1
2025-01-11,0085,8.504166666666666,1
2025-01-11,0007,7.0375000000000005,1
2025-01-11,0016,8.8875,1
2025-01-11,0094,9.310416666666667,1
2025-01-12,0016,4.866666666666666,1
2025-01-12,0085,6.3187500000000005,1
2025-01-12,0007,6.208333333333333,1
2025-01-12,0093,6.458333333333333,1
2025-01-12,0094,7.75,1
2025-01-13,0007,4.366666666666666,1
2025-01-13,0085,4.741666666666666,1
2025-01-13,0085,5.2,24
2025-01-13,0093,3.404166666666667,1
2025-01-13,0016,11.225,1
2025-01-13,0094,5.325,1
2025-01-14,0007,5.0095238095238095,1
2025-01-14,0085,6.64375,1
2025-01-14,0093,7.3125,1
2025-01-14,0016,9.85,1
2025-01-14,0094,6.445833333333333,1
2025-01-15,0016,26.349999999999998,1
2025-01-15,0094,11.360416666666666,1
2025-01-15,0093,10.657575757575756,1
2025-01-15,0085,9.908333333333333,1
2025-01-15,0007,7.058333333333334,1
2025-01-16,0016,18.045833333333334,1
2025-01-16,0007,6.941666666666666,1
2025-01-16,0085,7.1780487804878055,1
2025-01-16,0085,7.5,24
2025-01-16,0093,8.985416666666667,1
2025-01-16,0094,8.335416666666667,1
2025-01-17,0016,17.658333333333335,1
2025-01-17,0007,5.7124999999999995,1
2025-01-17,0085,7.452083333333333,1
2025-01-17,0093,11.183333333333332,1
2025-01-17,0094,8.762500000000001,1
2025-01-18,0007,3.1208333333333336,1
2025-01-18,0016,2.529166666666667,1
2025-01-18,0094,3.420833333333333,1
2025-01-18,0093,3.279166666666667,1
2025-01-18,0085,3.516666666666667,1
2025-01-19,0016,2.216666666666667,1
2025-01-19,0094,2.65625,1
2025-01-19,0007,1.2916666666666667,1
2025-01-19,0085,2.3000000000000003,1
2025-01-19,0085,2.6,24
2025-01-19,0093,2.6979166666666665,1
2025-01-20,0094,4.691666666666666,1
2025-01-20,0093,4.335416666666666,1
2025-01-20,0085,3.983333333333333,1
2025-01-20,0007,3.095833333333333,1
2025-01-20,0016,10.8125,1
2025-01-21,0094,5.328571428571429,1
2025-01-21,0093,4.785416666666666,1
2025-01-21,0085,4.360416666666667,1
2025-01-21,0007,2.7083333333333335,1
2025-01-21,0016,9.291666666666666,1
2025-01-22,0016,11.547826086956523,1
2025-01-22,0093,9.75531914893617,1
2025-01-22,0007,2.7875,1
2025-01-22,0085,5.215909090909091,1
2025-01-22,0085,5.7,24
2025-01-22,0094,7.66875,1
2025-01-23,0085,6.98125,1
2025-01-23,0007,5.258333333333334,1
2025-01-23,0093,8.106818181818182,1
2025-01-23,0094,7.733333333333333,1
2025-01-23,0016,8.770833333333334,1
2025-01-24,0007,4.983333333333333,1
2025-01-24,0085,6.504166666666666,1
2025-01-24,0093,8.262500000000001,1
2025-01-24,0094,7.5874999999999995,1
2025-01-24,0016,13.408333333333333,1
2025-01-25,0016,14.237499999999999,1
2025-01-25,0094,10.018749999999999,1
2025-01-25,0085,9.475,1
2025-01-25,0085,10.8,24
2025-01-25,0007,9.766666666666666,1
2025-01-25,0093,15.670833333333334,1
2025-01-26,0007,6.220833333333334,1
2025-01-26,0085,5.454166666666667,1
2025-01-26,0093,6.241666666666667,1
2025-01-26,0094,5.389583333333333,1
2025-01-26,0016,9.258333333333333,1
2025-01-27,0016,13.066666666666668,1
2025-01-27,0007,4.3875,1
2025-01-27,0085,5.452083333333333,1
2025-01-27,0093,5.672916666666667,1
2025-01-27,0094,5.585416666666667,1
2025-01-28,0094,4.864285714285715,1
2025-01-28,0007,2.670833333333333,1
2025-01-28,0016,12.833333333333334,1
2025-01-28,0085,4.2250000000000005,1
2025-01-28,0085,4.5,24
2025-01-28,0093,5.0625,1
2025-01-29,0085,5.39375,1
2025-01-29,0007,4.633333333333333,1
2025-01-29,0094,4.397916666666666,1
2025-01-29,0093,7.522916666666667,1
2025-01-29,0016,21.879166666666666,1
2025-01-30,0016,17.366666666666667,1
2025-01-30,0094,10.016666666666667,1
2025-01-30,0093,10.46595744680851,1
2025-01-30,0085,9.735416666666667,1
2025-01-30,0007,8.09047619047619,1
2025-01-31,0094,3.783333333333333,1
2025-01-31,0093,4.777083333333334,1
2025-01-31,0085,3.6,24
2025-01-31,0085,3.5729166666666665,1
2025-01-31,0016,10.241666666666667,1
2025-01-31,0007,3.220833333333333,1
2025-02-01,0016,10.004166666666666,1
2025-02-01,0007,7.633333333333333,1
2025-02-01,0085,9.291666666666666,1
2025-02-01,0093,10.085416666666667,1
2025-02-01,0094,8.622916666666667,1
2025-02-02,0007,5.595833333333334,1
2025-02-02,0085,7.054166666666667,1
2025-02-02,0016,10.704166666666666,1
2025-02-02,0093,8.797916666666667,1
2025-02-02,0094,6.316666666666666,1
2025-02-03,0016,13.733333333333333,1
2025-02-03,0085,11.2,24
2025-02-03,0094,9.904166666666667,1
2025-02-03,0007,8.745833333333334,1
2025-02-03,0085,10.889583333333334,1
2025-02-03,0093,14.854166666666666,1
2025-02-04,0094,4.802083333333333,1
2025-02-04,0093,6.8,1
2025-02-04,0085,5.957777777777778,1
2025-02-04,0007,4.4375,1
2025-02-04,0016,3.5208333333333335,1
2025-02-05,0094,6.604545454545455,1
2025-02-05,0093,8.454166666666667,1
2025-02-05,0007,5.375,1
2025-02-05,0085,7.289583333333333,1
2025-02-05,0016,10.570833333333333,1
2025-02-06,0016,7.6,1
2025-02-06,0094,5.420833333333333,1
2025-02-06,0085,7.2,24
2025-02-06,0085,6.7124999999999995,1
2025-02-06,0007,4.545833333333333,1
2025-02-06,0093,8.458333333333334,1
2025-02-07,0093,10.204166666666666,1
2025-02-07,0016,11.5625,1
2025-02-07,0007,5.208333333333333,1
2025-02-07,0085,6.676595744680851,1
2025-02-07,0094,4.6937500000000005,1
2025-02-08,0094,7.21875,1
2025-02-08,0093,8.612499999999999,1
2025-02-08,0016,7.266666666666667,1
2025-02-08,0085,7.060416666666666,1
2025-02-08,0007,7.266666666666667,1
2025-02-09,0007,6.966666666666668,1
2025-02-09,0093,9.720833333333333,1
2025-02-09,0016,5.820833333333333,1
2025-02-09,0094,6.8187500000000005,1
2025-02-09,0085,7.98125,1
2025-02-09,0085,8.6,24
