date,temperature_2m_max,precipitation_sum,precipitation_hours,uv_index_max,wind_speed_10m_max,shortwave_radiation_sum
2025-03-26,63.112564,0.0,0.0,6.2016554,10.128962,22.916225
2025-03-27,61.85078,0.6006623,0.69536424,5.084437,12.860756,14.796225
2025-03-28,80.03495,0.13774835,0.21854305,6.35298,22.9962,21.15
2025-03-29,67.32707,1.2675498,1.2913908,3.318212,12.599634,5.7091393
2025-03-30,74.70468,0.7205298,0.5629139,5.973179,18.581865,15.583047
2025-03-31,53.69952,0.0,0.0,5.777152,14.394819,17.3251
2025-04-01,59.4172,0.0,0.0,5.9033113,16.95446,22.598543
2025-04-02,77.77482,10.610596,2.0,5.2125826,22.557007,8.667682
2025-04-03,61.307796,2.9728477,4.602649,2.9605958,10.227082,10.020397
2025-04-04,51.7678,58.6298,9.536424,2.1291392,14.076732,5.802649
2025-04-05,47.98422,14.069536,9.688742,1.3450332,14.388762,5.216755
2025-04-06,49.53091,0.30397353,0.7350993,4.215563,11.291077,15.598874
2025-04-07,60.168194,0.0,0.0,6.559934,15.155518,24.997482
2025-04-08,51.448326,0.0,0.0,6.7059603,7.3459253,25.360994
2025-04-09,70.798325,0.1768212,0.17218544,5.733113,17.015093,18.952517
2025-04-10,67.78839,0.8390728,0.62913907,6.430464,19.071167,19.264769
2025-04-11,52.76674,0.0,0.0,5.8407288,10.163551,13.218211
2025-04-12,64.04773,0.0,0.0,6.9291387,10.03411,25.4551
2025-04-13,82.502495,0.0,0.0,7.0456953,18.18547,24.225166
2025-04-14,70.539055,0.0,0.0,6.383444,14.668427,22.335297
2025-04-15,61.977734,0.0,0.0,6.9039736,17.793537,26.758741
2025-04-16,72.73303,0.0,0.0,7.047683,11.754342,26.059801
2025-04-17,79.09502,5.150331,1.5430464,7.1821194,19.070827,18.673841
2025-04-18,79.10992,1.4264901,0.27152318,4.8271523,15.193829,12.435298
2025-04-19,70.36859,54.49934,11.834437,1.8307948,11.91615,6.9452314
