date_local,site_number,sample_measurement,samp_dur_hrs
2025-01-01,0085,6.8374999999999995,1
2025-01-01,0094,7.766666666666667,1
2025-01-01,0016,6.4875,1
2025-01-02,0085,15.645833333333334,1
2025-01-02,0094,20.066666666666666,1
2025-01-02,0016,15.033333333333333,1
2025-01-03,0016,4.55,1
2025-01-03,0094,4.5625,1
2025-01-03,0085,4.1125,1
2025-01-04,0094,7.758333333333333,1
2025-01-04,0016,6.1375,1
2025-01-04,0085,8.512500000000001,1
2025-01-05,0085,5.931818181818182,1
2025-01-05,0094,7.8,1
2025-01-05,0016,4.304166666666666,1
2025-01-06,0085,4.566666666666666,1
2025-01-06,0094,6.058333333333334,1
2025-01-06,0016,4.945833333333334,1
2025-01-07,0085,11.375,1
2025-01-07,0094,10.825000000000001,1
2025-01-07,0016,14.383333333333333,1
2025-01-08,0016,14.929166666666667,1
2025-01-08,0085,12.054166666666667,1
2025-01-08,0094,13.517391304347825,1
2025-01-09,0016,20.508695652173913,1
2025-01-09,0085,18.045833333333334,1
2025-01-09,0094,21.508333333333336,1
2025-01-10,0094,13.558333333333332,1
2025-01-10,0085,12.945833333333333,1
2025-01-10,0016,13.0875,1
2025-01-11,0085,6.283333333333332,1
2025-01-11,0094,8.729166666666666,1
2025-01-11,0016,8.8875,1
2025-01-12,0085,6.027272727272727,1
2025-01-12,0094,7.179166666666667,1
2025-01-12,0016,4.866666666666666,1
2025-01-13,0016,11.225,1
2025-01-13,0094,11.816666666666668,1
2025-01-13,0085,9.254166666666666,1
2025-01-14,0016,9.85,1
2025-01-14,0094,14.775,1
2025-01-14,0085,14.737499999999999,1
2025-01-15,0094,21.091666666666665,1
2025-01-15,0085,29.0625,1
2025-01-15,0016,26.349999999999998,1
2025-01-16,0016,18.045833333333334,1
2025-01-16,0085,27.8875,1
2025-01-16,0094,19.070833333333333,1
2025-01-17,0085,20.141666666666666,1
2025-01-17,0094,21.454166666666666,1
2025-01-17,0016,17.658333333333335,1
2025-01-18,0094,2.9,1
2025-01-18,0016,2.529166666666667,1
2025-01-18,0085,3.4958333333333336,1
2025-01-19,0094,2.7416666666666667,1
