date,temperature_2m_max,precipitation_sum,precipitation_hours,uv_index_max,wind_speed_10m_max,shortwave_radiation_sum,NO2,PM25
2025-02-21,27.981571,0.0,0.0,5.0205297,4.965169,16.864504,19.025,13.084999999999999
2025-02-22,38.642696,0.0,0.0,4.9225163,8.558726,16.089933,17.368055555555554,11.837916666666667
2025-02-23,56.533623,0.0,0.0,4.8188744,9.270943,16.918344,14.816666666666668,9.485833333333334
2025-02-24,65.211174,0.0,0.0,3.9268212,10.193855,15.839404,18.561111111111114,11.39375
2025-02-25,63.065483,0.0,0.0,4.7450333,10.20818,17.351192,15.211111111111109,8.76
2025-02-26,66.75071,0.0,0.0,3.8394039,13.400633,13.083047,11.327777777777778,7.372857142857143
2025-02-27,60.349983,0.0,0.0,4.80596,18.461437,17.886292,8.401388888888889,5.997083333333333
2025-02-28,73.478065,0.0,0.0,4.986755,18.378038,17.852251,10.252777777777778,4.6466666666666665
2025-03-01,51.564552,0.0,0.0,4.9082785,13.960029,18.43159,3.7694444444444444,3.794583333333333
2025-03-02,47.674286,0.0,0.0,5.044702,7.428112,18.461987,13.088888888888889,7.4125
2025-03-03,65.0133,0.0,0.0,5.1880794,14.503659,17.372318,10.41111111111111,8.642916666666666
2025-03-04,60.6927,11.512583,4.629139,2.4245033,19.526464,6.0024505,7.311111111111111,10.800833333333333
2025-03-05,50.16091,2.423841,3.960265,3.8672187,24.759167,6.7805295,3.48780193236715,2.9358434343434343
2025-03-06,48.41515,0.0,0.0,5.406954,17.006004,19.100729,11.706944444444446,5.31625
2025-03-07,69.67124,0.0,0.0,5.4927154,17.488237,15.979669,9.7875,5.778333333333333
2025-03-08,53.161903,0.0,0.0,5.150331,12.877504,19.905298,10.034722222222221,7.8950000000000005
2025-03-09,63.286606,0.0,0.0,5.4281454,6.270954,20.195297,18.37310606060606,12.755416666666665
2025-03-10,73.602036,0.0,0.0,5.552318,10.677097,19.944107,16.580555555555552,11.125
2025-03-11,78.481705,0.0,0.0,5.639073,10.296527,19.801456,15.158333333333333,14.579333333333333
2025-03-12,78.526405,0.0,0.0,5.6496687,8.074667,19.399006,16.204166666666666,15.427023809523808
2025-03-13,79.47289,0.0,0.0,5.8556294,10.471916,19.102848,18.068055555555556,20.8
2025-03-14,82.495346,25.739073,1.6887417,5.4678807,26.226027,18.598345,6.1819444444444445,19.18208333333333
2025-03-15,63.64839,2.1364238,1.3112583,3.6029801,15.927225,13.659736,4.4944444444444445,52.45916666666667
2025-03-16,46.731373,0.20198676,0.47019866,5.2215233,16.99201,16.739073,5.258712121212121,3.443333333333334
2025-03-17,67.30084,0.0,0.0,5.8910594,16.450434,21.146225,17.891666666666666,9.82125
